Title,Price,Character,URL
"LEGO Marvel Super Heroes Iron Man Figure 76206 Building Toy Set for Kids, Boys, and Girls Ages 9+ (381 Pieces)",$31.99,,https://amazon.com//LEGO-Building-Realistic-Display-Avengers/dp/B09FN41B36/ref=sr_1_26?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-26
1994 Marvel Masterpieces Series III Silver HOLOFOIL Insert Set of 10 Cards NM/M Hildebrandt Bros.,$90.00,,https://amazon.com//Marvel-Masterpieces-SILVER-HOLOFOIL-Hildebrandt/dp/B07CR2KHS2/ref=sr_1_27?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-27
LEGO Marvel Super Heroes Infinity Gauntlet 76191 Building Set for Adults (590 Pieces),$63.99,,https://amazon.com//LEGO-Infinity-Gauntlet-Collectible-Building/dp/B08YP94QJN/ref=sr_1_28?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-28
"LEGO Marvel Avengers Compound Battle 76131 Building Set Includes Toy Car, Helicopter, and Popular Avengers Characters Iron Man, Thanos and More (699 Pieces)",$127.95,,https://amazon.com//LEGO-Marvel-Avengers-Compound-Building/dp/B07JMXW12M/ref=sr_1_29?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-29
"LEGO Marvel Avengers Compound Battle 76131 Building Set Includes Toy Car, Helicopter, and Popular Avengers Characters Iron Man, Thanos and More (699 Pieces)",$127.95,,https://amazon.com//LEGO-Marvel-Avengers-Compound-Building/dp/B07JMXW12M/ref=sr_1_29?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-29
"LEGO Marvel Avengers Compound Battle 76131 Building Set Includes Toy Car, Helicopter, and Popular Avengers Characters Iron Man, Thanos and More (699 Pieces)",$127.95,,https://amazon.com//LEGO-Marvel-Avengers-Compound-Building/dp/B07JMXW12M/ref=sr_1_29?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-29
"LEGO Marvel Avengers Compound Battle 76131 Building Set Includes Toy Car, Helicopter, and Popular Avengers Characters Iron Man, Thanos and More (699 Pieces)",$127.95,,https://amazon.com//LEGO-Marvel-Avengers-Compound-Building/dp/B07JMXW12M/ref=sr_1_29?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-29
1992 For Marvel Masterpieces PUNISHER #73 PSA 8 NM-MT,$40.00,,https://amazon.com//1992-Marvel-Masterpieces-PUNISHER-NM-MT/dp/B0BCTHCHJ7/ref=sr_1_33?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-33
1994 Ultra X-Men NonSport #141 Wolverine vs. The Thing Official Marvel Standard Sized Trading Card,$2.49,"<span class=""a-size-base-plus a-color-base a-text-normal"">1994 Ultra X-Men NonSport #141 Wolverine vs. The Thing Official Marvel Standard Sized Trading Card</span>",https://amazon.com//NonSport-Wolverine-Official-Standard-Trading/dp/B0881888VY/ref=sr_1_34?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-34
"1994 Marvel Universe Hologram Insert Set of 4 Cards (Spider-Man, Wolverine++) NM/M",$120.00,"<span class=""a-size-base-plus a-color-base a-text-normal"">1994 Marvel Universe Hologram Insert Set of 4 Cards (Spider-Man, Wolverine++) NM/M</span>",https://amazon.com//Collection-Spider-Man-Sketchboard-AUTOGRAPH-REDEMPTION/dp/B07CSPPPTZ/ref=sr_1_35?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-35
